Date,Visitors,Orders,Conversion_Rate,Average_Order_Value,Revenue,COGS,Marketing_Spend,Refunds,Profit
2023-03-28,1898,29,0.015,106.32,3083.23,2348.39,351.24,1,383.59
2023-03-29,9428,438,0.047,73.98,32404.92,21010.09,743.85,20,10650.99
2023-03-30,1366,35,0.026,86.73,3035.5,2301.58,569.09,1,164.82
2023-03-31,5750,135,0.024,136.73,18459.07,12103.78,219.49,3,6135.79
2023-04-01,2925,44,0.015,167.06,7350.86,3762.43,353.62,1,3234.81
2023-04-02,7035,291,0.041,79.72,23198.26,15075.53,592.6,6,7530.13
2023-04-03,3807,117,0.031,150.17,17569.42,13558.34,603.1,2,3407.98
2023-04-04,1504,29,0.02,170.84,4954.28,2945.14,787.27,1,1221.87
2023-04-05,8185,319,0.039,135.22,43135.3,25994.74,252.06,8,16888.5
2023-04-06,3474,59,0.017,111.49,6578.18,4036.82,309.67,2,2231.69
2023-04-07,6487,197,0.03,38.41,7567.74,5386.28,823.91,6,1357.55
2023-04-08,8327,272,0.033,168.7,45887.56,23711.48,375.53,9,21800.54
2023-04-09,9531,113,0.012,186.12,21031.94,14802.82,983.54,5,5245.58
2023-04-10,6540,224,0.034,194.16,43490.86,29464.85,569.36,6,13456.65
2023-04-11,8575,193,0.023,82.81,15981.91,9308.69,851.44,3,5821.77
2023-04-12,7259,213,0.029,173.26,36903.51,21979.98,625.16,10,14298.38
2023-04-13,2698,60,0.022,100.2,6011.94,3030.38,833.64,2,2147.92
2023-04-14,9352,232,0.025,43.34,10054.63,7809.51,874.93,2,1370.19
2023-04-15,4049,129,0.032,183.0,23607.2,12131.49,788.7,4,10687.01
2023-04-16,5593,224,0.04,31.38,7029.55,4342.6,894.67,9,1792.28
2023-04-17,9597,126,0.013,97.47,12280.81,7306.52,634.68,5,4339.61
2023-04-18,5506,271,0.049,112.36,30448.7,21549.91,262.94,4,8635.86
2023-04-19,2975,138,0.047,128.33,17709.45,9457.66,879.85,3,7371.95
2023-04-20,5708,267,0.047,126.33,33731.0,21512.66,294.41,3,11923.93
2023-04-21,6956,118,0.017,149.3,17617.17,9058.38,735.93,2,7822.85
2023-04-22,7095,180,0.026,145.11,26119.27,16432.79,491.32,2,9195.16
2023-04-23,1703,20,0.012,118.42,2368.38,1264.72,820.66,0,283.0
2023-04-24,9484,220,0.023,87.36,19219.9,11655.28,102.31,6,7462.31
2023-04-25,7015,189,0.027,169.94,32119.03,19345.39,601.38,2,12172.26
2023-04-26,8320,346,0.042,106.34,36793.85,27150.94,580.52,16,9062.39
2023-04-27,4234,177,0.042,101.63,17989.21,13644.12,943.87,8,3401.22
2023-04-28,6743,123,0.018,145.89,17944.37,13408.16,509.51,4,4026.71
2023-04-29,6774,271,0.04,87.01,23580.82,18756.54,704.79,8,4119.49
2023-04-30,4900,72,0.015,58.67,4224.19,2742.28,289.51,3,1192.4
2023-05-01,6572,233,0.035,130.51,30408.97,20916.64,247.85,11,9244.48
2023-05-02,8765,197,0.023,177.14,34897.28,27913.2,107.68,4,6876.4
2023-05-03,6799,121,0.018,84.68,10246.22,5128.57,255.05,4,4862.6
2023-05-04,6321,189,0.03,182.37,34467.27,20631.42,784.9,8,13050.95
2023-05-05,2568,64,0.025,20.79,1330.58,673.91,952.04,0,-295.37
2023-05-06,4660,175,0.038,196.19,34333.69,20687.3,787.13,4,12859.27
2023-05-07,3055,63,0.021,123.7,7793.08,4445.4,375.63,3,2972.05
2023-05-08,4537,71,0.016,68.86,4888.74,3073.61,542.9,1,1272.23
2023-05-09,9088,435,0.048,94.51,41113.24,24088.17,347.27,20,16677.8
2023-05-10,2350,86,0.037,127.69,10981.06,7364.5,437.97,1,3178.59
2023-05-11,8357,337,0.04,196.38,66179.52,37799.03,142.56,10,28237.93
2023-05-12,9499,376,0.04,57.07,21457.69,14270.44,565.85,15,6621.41
2023-05-13,8086,218,0.027,40.67,8865.92,6103.16,575.01,2,2187.75
2023-05-14,7910,120,0.015,151.44,18172.66,10781.26,285.03,3,7106.37
2023-05-15,4503,104,0.023,128.08,13320.28,9799.18,783.41,3,2737.69
2023-05-16,5321,147,0.028,153.0,22490.32,14025.65,111.34,2,8353.33
2023-05-17,6933,268,0.039,24.5,6565.42,3537.77,710.81,12,2316.83
2023-05-18,5903,236,0.04,125.26,29561.07,17374.49,270.09,5,11916.49
2023-05-19,7950,193,0.024,50.73,9791.53,6033.76,176.53,4,3581.25
2023-05-20,3949,125,0.032,24.66,3082.63,1985.57,954.73,3,142.34
2023-05-21,4906,75,0.015,56.05,4203.57,3360.72,127.65,0,715.2
2023-05-22,8699,223,0.026,113.42,25292.59,14577.52,882.18,5,9832.88
2023-05-23,8650,222,0.026,92.35,20501.38,12453.7,981.34,4,7066.34
2023-05-24,8241,248,0.03,42.34,10501.31,8021.33,216.88,4,2263.11
2023-05-25,3738,139,0.037,68.02,9454.16,5328.55,381.35,3,3744.25
2023-05-26,2036,72,0.035,145.45,10472.53,6383.04,321.88,1,3767.61
2023-05-27,2205,55,0.025,175.69,9662.94,6697.59,425.03,0,2540.32
2023-05-28,3369,161,0.048,146.36,23563.54,13254.81,679.28,6,9629.45
2023-05-29,1396,61,0.044,78.42,4783.36,3182.32,289.07,1,1311.97
2023-05-30,7691,384,0.05,153.79,59053.61,38314.07,783.82,11,19955.72
2023-05-31,3846,107,0.028,129.49,13855.1,8029.24,196.48,3,5629.39
2023-06-01,2484,118,0.048,95.88,11314.26,8473.39,495.38,2,2345.49
2023-06-02,3102,54,0.017,191.94,10364.96,5703.38,340.03,1,4321.56
2023-06-03,2109,61,0.029,112.08,6836.8,3782.24,649.9,2,2404.65
2023-06-04,4328,66,0.015,184.29,12163.23,9362.97,620.0,2,2180.26
2023-06-05,7058,291,0.041,126.14,36707.21,22487.4,644.99,5,13574.82
2023-06-06,2104,80,0.038,32.02,2561.84,1769.43,794.3,1,-1.89
2023-06-07,2583,88,0.034,157.86,13891.87,10505.38,700.51,2,2685.98
2023-06-08,6802,163,0.024,91.17,14860.16,10339.32,847.93,5,3672.91
2023-06-09,4427,177,0.04,137.14,24273.61,12934.61,279.21,3,11059.79
2023-06-10,4240,50,0.012,126.52,6325.96,3637.15,195.31,1,2493.5
2023-06-11,7940,209,0.026,199.5,41695.63,26295.63,450.01,8,14949.99
2023-06-12,3749,50,0.013,27.09,1354.47,816.9,443.62,1,93.95
2023-06-13,9351,235,0.025,87.05,20457.56,12784.33,626.11,5,7047.12
2023-06-14,7897,209,0.027,38.12,7966.58,5293.97,983.41,2,1689.19
2023-06-15,9601,409,0.043,125.82,51460.8,33675.87,136.31,9,17648.62
2023-06-16,5615,182,0.033,128.61,23406.85,17548.84,841.48,8,5016.53
2023-06-17,5959,244,0.041,43.49,10611.88,8163.94,376.67,5,2071.27
2023-06-18,9914,244,0.025,31.09,7586.6,4224.35,912.48,6,2449.77
2023-06-19,3429,110,0.032,99.48,10942.29,7604.41,645.4,4,2692.47
2023-06-20,7485,185,0.025,27.12,5016.59,3587.34,216.61,7,1212.64
2023-06-21,3731,108,0.029,142.68,15409.17,10513.58,712.39,3,4183.2
2023-06-22,1984,37,0.019,36.31,1343.45,833.99,627.11,1,-117.65
2023-06-23,5458,143,0.026,96.55,13805.98,8266.17,136.14,2,5403.67
2023-06-24,8030,312,0.039,62.02,19349.65,13694.19,260.07,7,5395.4
2023-06-25,2029,21,0.011,85.65,1798.68,1302.57,681.53,0,-185.41
2023-06-26,6797,85,0.013,47.66,4050.98,2048.56,721.2,1,1281.23
2023-06-27,9846,412,0.042,72.09,29701.36,20287.3,221.26,5,9192.79
2023-06-28,5250,177,0.034,22.69,4016.86,2485.26,212.67,5,1318.93
2023-06-29,3475,143,0.041,194.27,27779.92,19496.82,751.59,1,7531.5
2023-06-30,1941,20,0.011,183.81,3676.15,2668.81,452.93,0,554.41
2023-07-01,6044,95,0.016,130.15,12364.38,9673.69,904.25,2,1786.44
2023-07-02,9124,135,0.015,65.62,8859.16,6609.08,738.52,6,1511.56
2023-07-03,9275,197,0.021,157.61,31049.29,15583.72,981.95,7,14483.63
2023-07-04,1414,16,0.012,113.5,1816.04,1230.85,258.08,0,327.11
2023-07-05,1982,82,0.042,60.86,4990.45,3491.53,153.91,1,1345.02
2023-07-06,9716,216,0.022,43.62,9421.49,7335.67,572.31,4,1513.51
2023-07-07,8678,316,0.036,126.66,40025.64,29098.8,565.37,11,10361.46
2023-07-08,5189,83,0.016,181.85,15093.57,11946.88,335.76,1,2810.94
2023-07-09,8978,400,0.045,191.85,76741.97,46268.89,878.1,16,29594.98
2023-07-10,6996,253,0.036,187.37,47405.59,35191.52,806.1,8,11407.97
2023-07-11,7892,376,0.048,152.98,57520.55,42764.15,915.32,13,13841.09
2023-07-12,8637,149,0.017,99.02,14753.6,8308.69,702.82,6,5742.09
2023-07-13,7384,318,0.043,128.49,40860.2,27330.3,229.37,5,13300.53
2023-07-14,8351,360,0.043,173.25,62368.33,31968.28,620.83,11,29779.22
2023-07-15,1888,79,0.042,67.65,5344.01,3925.55,595.23,1,823.24
2023-07-16,4369,107,0.025,80.1,8570.99,6111.25,310.02,3,2149.71
2023-07-17,1626,43,0.027,34.85,1498.55,1020.53,515.68,1,-37.66
2023-07-18,1015,40,0.04,49.23,1969.34,1315.65,575.81,1,77.87
2023-07-19,4145,136,0.033,53.1,7222.08,4788.1,960.45,5,1473.54
2023-07-20,3112,132,0.042,22.93,3027.32,1930.2,987.95,3,109.17
2023-07-21,9603,112,0.012,47.71,5343.84,3366.92,756.01,4,1220.9
2023-07-22,1875,59,0.032,87.11,5139.7,3133.88,334.42,1,1671.4
2023-07-23,4131,153,0.037,38.93,5956.11,4143.41,822.66,4,990.05
2023-07-24,4953,154,0.031,158.11,24348.68,16334.54,161.77,5,7852.37
2023-07-25,8114,118,0.015,180.18,21261.25,16656.41,295.82,3,4309.01
2023-07-26,5030,118,0.024,31.86,3759.4,2044.53,866.3,1,848.58
2023-07-27,5504,204,0.037,37.82,7716.08,5204.52,949.09,2,1562.48
2023-07-28,7227,272,0.038,59.13,16083.17,9169.87,711.18,13,6202.12
2023-07-29,2377,89,0.038,36.41,3240.22,1983.37,351.32,1,905.53
2023-07-30,9617,362,0.038,119.7,43332.09,31034.25,936.47,8,11361.36
2023-07-31,9396,173,0.018,103.63,17928.37,13931.38,850.17,8,3146.83
2023-08-01,8925,163,0.018,31.87,5194.08,2867.28,993.54,4,1333.26
2023-08-02,8807,363,0.041,61.93,22480.84,11812.93,254.65,6,10413.25
2023-08-03,9746,173,0.018,55.64,9625.03,4862.51,669.86,4,4092.66
2023-08-04,2600,110,0.043,107.31,11803.8,7536.06,567.49,3,3700.26
2023-08-05,8024,304,0.038,105.27,32001.51,16661.18,316.62,5,15023.71
2023-08-06,2087,25,0.012,131.8,3294.94,2118.73,575.45,0,600.77
2023-08-07,8537,425,0.05,80.77,34326.84,23228.83,163.57,10,10934.44
2023-08-08,1102,49,0.045,139.11,6816.43,4011.65,509.61,0,2295.17
2023-08-09,9204,359,0.039,197.32,70836.98,48885.44,875.69,9,21075.86
2023-08-10,8910,415,0.047,34.69,14398.02,8420.34,908.2,14,5069.48
2023-08-11,9199,270,0.029,56.5,15255.86,10323.71,324.77,6,4607.38
2023-08-12,5294,100,0.019,52.05,5205.09,2924.61,546.33,2,1734.16
2023-08-13,6113,218,0.036,115.0,25070.63,13389.12,634.68,7,11046.84
2023-08-14,3165,85,0.027,47.85,4066.86,2728.23,192.64,2,1145.99
2023-08-15,5545,180,0.033,62.11,11178.95,6029.69,727.87,2,4421.39
2023-08-16,3055,151,0.05,181.04,27337.66,16316.3,802.21,6,10219.15
2023-08-17,5777,97,0.017,187.46,18184.07,13402.29,734.12,1,4047.66
2023-08-18,5472,157,0.029,24.54,3853.55,2110.98,458.04,5,1284.52
2023-08-19,3977,103,0.026,155.03,15968.11,11267.11,936.51,4,3764.5
2023-08-20,1817,36,0.02,87.05,3133.75,2126.46,601.99,1,405.3
2023-08-21,2153,93,0.043,132.63,12334.83,9223.04,298.1,2,2813.68
2023-08-22,3763,184,0.049,163.57,30096.55,17232.54,842.73,8,12021.29
2023-08-23,8696,390,0.045,99.56,38829.07,29635.45,391.21,4,8802.41
2023-08-24,3906,141,0.036,120.12,16936.55,10931.05,802.72,2,5202.78
2023-08-25,7593,140,0.018,25.51,3571.45,2606.71,553.49,6,411.25
2023-08-26,7635,310,0.041,170.33,52801.71,40866.41,920.29,14,11015.01
2023-08-27,4320,201,0.047,56.45,11346.78,5953.98,376.54,9,5016.25
2023-08-28,8471,214,0.025,23.05,4933.32,3160.37,333.14,8,1439.81
2023-08-29,3714,90,0.024,155.58,14002.47,9837.26,147.51,3,4017.7
2023-08-30,8822,220,0.025,142.14,31270.59,19315.49,741.22,2,11213.89
2023-08-31,6325,173,0.027,81.4,14082.01,10678.44,311.91,4,3091.66
2023-09-01,5729,174,0.03,38.95,6777.87,3793.05,285.33,3,2699.49
2023-09-02,9118,436,0.048,167.68,73107.87,48860.13,211.87,18,24035.87
2023-09-03,8319,330,0.04,121.82,40199.01,29160.16,792.03,11,10246.82
2023-09-04,3377,162,0.048,111.9,18128.17,14137.91,559.6,5,3430.66
2023-09-05,1446,66,0.046,112.49,7424.53,4875.7,955.33,2,1593.5
2023-09-06,3590,174,0.049,133.66,23256.85,14744.92,674.66,3,7837.26
2023-09-07,1187,23,0.02,24.04,553.02,380.45,740.57,0,-568.0
2023-09-08,8715,356,0.041,112.03,39883.95,27727.87,925.75,17,11230.32
2023-09-09,9367,413,0.044,124.23,51307.93,27001.24,145.26,5,24161.43
2023-09-10,4529,88,0.02,149.7,13173.66,7628.75,888.09,3,4656.81
2023-09-11,5528,140,0.025,142.1,19893.54,13365.33,124.08,3,6404.12
2023-09-12,7411,179,0.024,81.66,14617.63,7859.47,263.04,4,6495.11
2023-09-13,3849,81,0.021,154.06,12479.03,6737.1,799.23,3,4942.7
2023-09-14,3765,56,0.015,39.59,2217.06,1306.39,373.98,2,536.69
2023-09-15,6299,142,0.023,170.31,24184.56,16708.52,135.12,3,7340.92
2023-09-16,5622,136,0.024,73.17,9950.52,6095.94,952.12,6,2902.45
2023-09-17,5884,201,0.034,193.35,38862.8,28930.1,650.38,9,9282.32
2023-09-18,7905,156,0.02,118.35,18462.64,12231.95,389.25,5,5841.44
2023-09-19,1284,51,0.04,87.73,4474.03,3349.66,852.96,0,271.41
2023-09-20,5808,129,0.022,75.27,9709.63,6587.7,375.24,3,2746.69
2023-09-21,2037,80,0.04,180.67,14453.46,10866.47,733.68,3,2853.3
2023-09-22,2831,32,0.012,157.62,5043.77,3266.53,259.16,1,1518.09
2023-09-23,2247,33,0.015,96.37,3180.33,2515.69,999.5,1,-334.86
2023-09-24,8401,349,0.042,179.55,62663.74,42054.64,515.77,15,20093.33
2023-09-25,5056,76,0.015,99.9,7592.35,4342.47,482.9,0,2766.98
2023-09-26,8512,211,0.025,41.38,8731.94,4634.46,563.06,4,3534.42
2023-09-27,1286,61,0.048,48.08,2932.89,1974.24,482.57,1,476.08
2023-09-28,7594,197,0.026,75.61,14895.4,8228.9,619.06,3,6047.43
2023-09-29,7508,115,0.015,186.3,21424.25,11065.77,527.91,5,9830.57
2023-09-30,1385,64,0.047,190.0,12159.81,7661.98,218.84,1,4278.99
2023-10-01,4245,94,0.022,150.56,14152.7,9572.94,210.86,1,4368.9
2023-10-02,7337,141,0.019,77.28,10895.83,5995.54,114.51,6,4785.78
2023-10-03,7588,168,0.022,63.42,10654.7,6605.78,725.88,4,3323.04
2023-10-04,6724,135,0.02,117.07,15804.23,9725.63,569.62,6,5508.97
2023-10-05,6202,289,0.047,102.21,29539.6,18046.02,157.68,13,11335.9
2023-10-06,9635,311,0.032,48.05,14942.66,7536.11,818.7,3,6587.85
2023-10-07,9432,103,0.011,183.91,18942.89,12847.02,297.01,4,5798.86
2023-10-08,3280,155,0.047,119.07,18456.4,10126.83,107.9,6,8221.67
2023-10-09,9424,422,0.045,118.39,49961.63,35613.76,898.94,10,13448.94
2023-10-10,1807,51,0.028,84.38,4303.2,2802.0,252.96,2,1248.24
2023-10-11,3536,55,0.016,103.4,5687.14,3945.8,902.95,0,838.39
2023-10-12,9711,133,0.014,136.17,18110.37,10412.88,631.03,3,7066.46
2023-10-13,1158,49,0.042,52.83,2588.57,1315.79,730.04,0,542.73
2023-10-14,6464,216,0.033,113.58,24533.45,18529.8,559.59,9,5444.06
2023-10-15,5849,185,0.032,94.69,17517.53,11742.32,164.72,4,5610.49
2023-10-16,9553,298,0.031,144.98,43204.45,27706.75,899.08,12,14598.61
2023-10-17,9212,357,0.039,181.45,64778.34,36554.61,499.81,16,27723.92
2023-10-18,1295,29,0.023,62.59,1815.03,1027.9,696.29,0,90.83
2023-10-19,9459,199,0.021,191.48,38104.62,27266.33,923.52,7,9914.78
2023-10-20,4907,163,0.033,74.34,12116.86,7629.22,882.24,7,3605.4
2023-10-21,4858,135,0.028,131.1,17698.68,12708.18,583.08,6,4407.42
2023-10-22,5757,172,0.03,177.53,30535.71,19831.29,249.18,7,10455.24
2023-10-23,4760,164,0.035,194.04,31822.89,16923.35,794.56,2,14104.98
2023-10-24,4953,159,0.032,88.79,14117.42,7197.96,376.94,5,6542.52
2023-10-25,3441,155,0.045,90.13,13970.26,11154.33,456.03,7,2359.9
2023-10-26,1294,27,0.021,187.82,5071.07,2648.88,824.86,1,1597.33
2023-10-27,3298,89,0.027,173.0,15396.78,12024.59,915.0,3,2457.2
2023-10-28,3927,72,0.019,70.96,5109.46,3076.07,781.66,3,1251.74
2023-10-29,7551,267,0.035,56.86,15182.5,8507.46,803.23,7,5871.81
2023-10-30,6397,193,0.03,167.4,32307.26,17875.48,323.29,5,14108.49
2023-10-31,7506,81,0.011,20.56,1665.26,837.7,784.89,0,42.67
2023-11-01,5842,159,0.027,66.32,10545.04,7954.64,999.33,6,1591.07
2023-11-02,1229,48,0.039,96.57,4635.41,2486.14,526.12,0,1623.14
2023-11-03,2620,100,0.038,196.25,19625.13,11059.1,227.27,3,8338.77
2023-11-04,6435,112,0.017,41.55,4653.38,3268.59,409.11,5,975.69
2023-11-05,4923,201,0.041,95.52,19199.27,10357.52,730.53,8,8111.22
2023-11-06,3128,126,0.04,154.24,19434.33,14205.26,197.08,5,5031.99
2023-11-07,2550,68,0.027,165.58,11259.31,5844.43,615.57,3,4799.31
2023-11-08,5418,217,0.04,27.16,5892.65,3503.15,325.46,8,2064.04
2023-11-09,6927,309,0.045,81.3,25122.39,17205.22,901.94,7,7015.23
2023-11-10,3773,179,0.048,78.59,14068.21,8933.39,688.13,7,4446.69
2023-11-11,6284,163,0.026,97.06,15820.55,10624.84,989.79,7,4205.92
2023-11-12,4773,65,0.014,32.54,2115.22,1587.69,865.67,1,-338.14
2023-11-13,2231,89,0.04,105.78,9414.07,6711.9,297.2,2,2404.98
2023-11-14,5608,72,0.013,38.1,2743.22,1558.7,811.75,2,372.77
2023-11-15,3343,150,0.045,142.44,21365.59,16452.64,203.41,3,4709.54
2023-11-16,5001,154,0.031,163.64,25200.96,18011.0,693.91,7,6496.05
2023-11-17,8410,217,0.026,168.48,36561.2,27228.26,179.1,8,9153.84
2023-11-18,5534,70,0.013,111.57,7809.9,5254.71,449.04,3,2106.14
2023-11-19,6517,289,0.044,164.74,47610.22,29237.74,840.06,6,17532.42
2023-11-20,6670,180,0.027,139.54,25116.47,16898.77,306.65,3,7911.05
2023-11-21,1429,27,0.019,99.53,2687.38,2117.67,936.44,0,-366.73
2023-11-22,8312,414,0.05,25.09,10385.78,7739.1,533.6,12,2113.07
2023-11-23,4895,62,0.013,173.72,10770.9,6626.1,323.92,2,3820.88
2023-11-24,7583,216,0.029,82.56,17833.44,9876.99,691.43,6,7265.02
2023-11-25,6443,152,0.024,75.55,11483.55,8829.63,755.6,1,1898.33
2023-11-26,2559,112,0.044,141.81,15882.43,8458.43,794.38,3,6629.62
2023-11-27,4899,70,0.014,175.2,12263.65,8437.97,918.86,1,2906.82
2023-11-28,4502,162,0.036,186.76,30254.89,19220.34,233.32,4,10801.23
2023-11-29,9616,296,0.031,71.53,21174.21,12293.01,987.77,3,7893.43
2023-11-30,7044,121,0.017,94.21,11399.34,6722.82,549.14,5,4127.39
2023-12-01,1184,16,0.014,121.2,1939.15,1143.6,990.54,0,-194.99
2023-12-02,4085,149,0.037,147.8,22022.13,13342.98,414.94,3,8264.2
2023-12-03,4917,173,0.035,134.1,23198.75,14302.59,485.56,5,8410.6
2023-12-04,6533,326,0.05,46.77,15248.47,11061.31,569.13,9,3618.04
2023-12-05,8957,255,0.029,193.27,49283.88,26261.74,457.86,6,22564.29
